match_id,date,team,goals,xg,goals_c,xg_c
987774,26th Dec 2018,CRY,0,2.10,0,0.86
987775,26th Dec 2018,FUL,1,1.26,1,1.49
987775,26th Dec 2018,WOL,1,1.49,1,1.26
987776,26th Dec 2018,LEI,2,1.44,1,1.44
987776,26th Dec 2018,MCI,1,1.44,2,1.44
987777,26th Dec 2018,LIV,4,3.02,0,0.47
987777,26th Dec 2018,NEW,0,0.47,4,3.02
987778,26th Dec 2018,HUD,1,1.08,3,1.57
987778,26th Dec 2018,MUN,3,1.57,1,1.08
987779,27th Dec 2018,SOU,1,1.22,2,1.20
987779,27th Dec 2018,WHU,2,1.20,1,1.22
987780,26th Dec 2018,BOU,0,1.11,5,1.79
987780,26th Dec 2018,TOT,5,1.79,0,1.11
987781,26th Dec 2018,CHE,2,1.89,1,1.21
987781,26th Dec 2018,WAT,1,1.21,2,1.89
987782,29th Dec 2018,BHA,1,1.10,0,0.72
987782,29th Dec 2018,EVE,0,0.72,1,1.10
987783,30th Dec 2018,BUR,2,2.74,0,0.80
987783,30th Dec 2018,WHU,0,0.80,2,2.74
987784,30th Dec 2018,CHE,1,0.95,0,0.23
987784,30th Dec 2018,CRY,0,0.23,1,0.95
987785,29th Dec 2018,FUL,1,1.77,0,0.42
987785,29th Dec 2018,HUD,0,0.42,1,1.77
987786,29th Dec 2018,CAR,1,0.58,0,1.77
987786,29th Dec 2018,LEI,0,1.77,1,0.58
987787,29th Dec 2018,ARS,1,1.01,5,3.90
987787,29th Dec 2018,LIV,5,3.90,1,1.01
987788,30th Dec 2018,BOU,1,0.49,4,2.95
987788,30th Dec 2018,MUN,4,2.95,1,0.49
987789,30th Dec 2018,MCI,3,2.47,1,0.24
987789,30th Dec 2018,SOU,1,0.24,3,2.47
987790,29th Dec 2018,TOT,1,0.31,3,0.95
987790,29th Dec 2018,WOL,3,0.95,1,0.31
987791,29th Dec 2018,NEW,1,0.72,1,1.26
987791,29th Dec 2018,WAT,1,1.26,1,0.72
987792,2nd Jan 2019,BOU,3,2.25,3,0.88
987792,2nd Jan 2019,WAT,3,0.88,3,2.25
987793,1st Jan 2019,ARS,4,4.57,1,1.36
987793,1st Jan 2019,FUL,1,1.36,4,4.57
987794,1st Jan 2019,CAR,0,0.91,3,1.09
987794,1st Jan 2019,TOT,3,1.09,0,0.91
987795,2nd Jan 2019,CHE,0,0.90,0,0.22
987795,2nd Jan 2019,SOU,0,0.22,0,0.90
987796,1st Jan 2019,EVE,0,0.99,1,0.64
987796,1st Jan 2019,LEI,1,0.64,0,0.99
987797,2nd Jan 2019,BUR,2,2.35,1,0.87
987797,2nd Jan 2019,HUD,1,0.87,2,2.35
987798,3rd Jan 2019,LIV,1,1.49,2,1.06
987798,3rd Jan 2019,MCI,2,1.06,1,1.49
987799,2nd Jan 2019,MUN,2,2.58,0,0.70
987799,2nd Jan 2019,NEW,0,0.70,2,2.58
987800,2nd Jan 2019,BHA,2,0.70,2,0.80
987800,2nd Jan 2019,WHU,2,0.80,2,0.70
987801,2nd Jan 2019,CRY,2,1.90,0,0.47
987801,2nd Jan 2019,WOL,0,0.47,2,1.90
987802,12th Jan 2019,BHA,0,0.40,1,1.99
987802,12th Jan 2019,LIV,1,1.99,0,0.40
987803,12th Jan 2019,BUR,2,0.85,1,0.83
987803,12th Jan 2019,FUL,1,0.83,2,0.85
987804,12th Jan 2019,CAR,0,0.14,0,0.56
987804,12th Jan 2019,HUD,0,0.56,0,0.14
987805,12th Jan 2019,CHE,2,1.32,1,0.46
987805,12th Jan 2019,NEW,1,0.46,2,1.32
987806,12th Jan 2019,CRY,1,1.33,2,1.67
987806,12th Jan 2019,WAT,2,1.67,1,1.33
987807,13th Jan 2019,BOU,0,1.92,2,0.99
987807,13th Jan 2019,EVE,2,0.99,0,1.92
987808,12th Jan 2019,LEI,1,1.70,2,1.47
987808,12th Jan 2019,SOU,2,1.47,1,1.70
987809,14th Jan 2019,MCI,3,2.91,0,0.14
987809,14th Jan 2019,WOL,0,0.14,3,2.91
987810,13th Jan 2019,MUN,1,0.83,0,1.86
987810,13th Jan 2019,TOT,0,1.86,1,0.83
987811,12th Jan 2019,ARS,0,0.69,1,0.64
987811,12th Jan 2019,WHU,1,0.64,0,0.69
987812,19th Jan 2019,BOU,2,1.10,0,1.29
987812,19th Jan 2019,WHU,0,1.29,2,1.10
