match_id,nick_name,full_name,pos,team,clearences,blocks,interceptions,recoveries,tackles_won
2292814,Podence,Daniel Podence,Midfielder,WOL,0,0,0,7,1
2292814,Kilman,Max Kilman,Defender,WOL,6,1,0,9,0
2292814,Gibbs-White,Morgan Gibbs-White,Midfielder,WOL,1,0,1,4,0
2292814,Neto,Pedro Neto,Midfielder,WOL,0,0,2,5,1
2292814,Collins,Nathan Collins,Defender,WOL,1,0,2,5,0
2292814,Ait Nouri,Rayan Ait Nouri,Defender,WOL,0,0,0,6,2
2292814,Campbell,Chem Campbell,Midfielder,WOL,0,0,0,0,0
2292815,Mee,Ben Mee,Defender,BRE,1,0,1,4,0
2292815,Jansson,Pontus Jansson,Defender,BRE,8,0,0,1,1
2292815,Norgaard,Christian Norgaard,Midfielder,BRE,0,1,1,8,1
2292815,Toney,Ivan Toney,Forward,BRE,1,0,1,6,0
2292815,Raya Martin,David Raya Martin,Goalkeeper,BRE,0,0,0,11,0
2292815,Dasilva,Pelenda Joshua Dasilva,Midfielder,BRE,0,1,0,0,0
2292815,Henry,Rico Henry,Defender,BRE,1,0,0,5,0
2292815,Janelt,Vitaly Janelt,Midfielder,BRE,1,0,0,7,1
2292815,Jensen,Mathias Jensen,Midfielder,BRE,0,0,0,2,0
2292815,Wissa,Yoane Wissa,Forward,BRE,1,0,1,2,1
2292815,Bech Sørensen,Mads Bech Sørensen,Defender,BRE,1,0,1,0,0
2292815,Lewis-Potter,Keane Lewis-Potter,Midfielder,BRE,0,1,0,1,0
2292815,Baptiste (Shandon),Shandon Baptiste,Midfielder,BRE,1,0,0,0,1
2292815,Dervisoglu,Halil Dervisoglu,Forward,BRE,0,0,0,0,0
2292815,Mbeumo,Bryan Mbeumo,Midfielder,BRE,1,0,2,6,1
2292815,Hickey,Aaron Hickey,Defender,BRE,0,0,1,2,0
2292815,Evans,Jonny Evans,Defender,LEI,5,0,0,5,0
2292815,Ward (Danny),Danny Ward,Goalkeeper,LEI,0,0,0,9,0
2292815,Vardy,Jamie Vardy,Forward,LEI,3,0,0,3,2
2292815,Amartey,Daniel Amartey,Defender,LEI,0,0,0,8,0
2292815,Castagne,Timothy Castagne,Defender,LEI,0,1,1,5,0
2292815,Tielemans,Youri Tielemans,Midfielder,LEI,0,0,0,8,1
2292815,Maddison,James Maddison,Midfielder,LEI,1,0,0,0,0
2292815,Ndidi,Onyinye Wilfred Ndidi,Midfielder,LEI,0,0,1,10,1
2292815,Dewsbury-Hall,Kiernan Dewsbury-Hall,Midfielder,LEI,0,0,2,2,1
2292815,Justin,James Justin,Defender,LEI,1,0,1,4,3
2292815,Daka,Patson Daka,Forward,LEI,0,0,0,0,0
2292815,Fofana (Wesley),Wesley Fofana,Defender,LEI,2,0,5,6,1
2292816,Wood,Chris Wood,Forward,NEW,1,0,0,1,0
2292816,Wilson (Callum),Callum Wilson,Forward,NEW,0,0,0,1,0
2292816,Trippier,Kieran Trippier,Defender,NEW,1,0,4,15,1
2292816,Burn,Dan Burn,Defender,NEW,5,0,0,6,1
2292816,Fraser (Ryan),Ryan Fraser,Midfielder,NEW,0,0,0,1,0
2292816,Pope,Nick Pope,Goalkeeper,NEW,1,0,0,9,0
2292816,Murphy (Jacob),Jacob Murphy,Midfielder,NEW,0,0,0,0,0
2292816,Schär,Fabian Schär,Defender,NEW,4,2,3,8,0
2292816,Targett,Matt Targett,Defender,NEW,1,0,0,10,3
2292816,Saint-Maximin,Allan Saint-Maximin,Midfielder,NEW,0,0,1,5,0
2292816,Almirón,Miguel Almirón,Midfielder,NEW,1,0,0,5,2
2292816,Longstaff (Sean),Sean Longstaff,Midfielder,NEW,0,0,0,0,1
2292816,Joelinton,Joelinton Cássio Apolinário de Lira,Midfielder,NEW,0,0,2,5,1
2292816,Willock,Joseph Willock,Midfielder,NEW,0,0,0,7,2
2292816,Bruno Guimarães,Bruno Guimarães Rodriguez Moura,Midfielder,NEW,0,0,1,10,2
2292816,Botman,Sven Botman,Defender,NEW,0,0,0,0,0
2292816,Colback,Jack Colback,Midfielder,NFO,1,0,1,4,4
2292816,Lingard,Jesse Lingard,Midfielder,NFO,0,0,2,5,0
2292816,Toffolo,Harry Toffolo,Defender,NFO,5,0,1,7,0
2292816,McKenna,Scott McKenna,Defender,NFO,4,3,1,5,0
2292816,Henderson (Dean),Dean Henderson,Goalkeeper,NFO,2,0,0,16,0
2292816,Mangala,Orel Mangala,Midfielder,NFO,0,0,0,1,0
2292816,Niakhaté,Moussa Niakhaté,Defender,NFO,11,0,1,5,0
2292816,Worrall,Joe Worrall,Defender,NFO,3,1,0,2,2
2292816,Awoniyi,Taiwo Awoniyi,Forward,NFO,0,0,0,1,2
2292816,Williams (Neco),Neco Williams,Defender,NFO,3,1,3,6,1
2292816,Surridge,Sam Surridge,Forward,NFO,3,1,0,1,0
2292816,Johnson (Brennan),Brennan Johnson,Midfielder,NFO,0,0,0,1,0
2292816,O'Brien (Lewis),Lewis O'Brien,Midfielder,NFO,4,0,1,13,2
2292816,Mighten,Alex Mighten,Midfielder,NFO,0,0,0,0,0
2292817,Romeu,Oriol Romeu,Midfielder,SOU,1,0,1,8,0
